sid,slice,mode,ip1_P1_n,ip1_P1_expectancy_R,ip1_P1_profit_factor,ip1_P1_total_R,ip1_T1_n,ip1_T1_expectancy_R,ip1_T1_profit_factor,ip1_T1_total_R,ip1_P2_n,ip1_P2_expectancy_R,ip1_P2_profit_factor,ip1_P2_total_R,ip1_T2_n,ip1_T2_expectancy_R,ip1_T2_profit_factor,ip1_T2_total_R,tuned_P1_n,tuned_P1_expectancy_R,tuned_P1_profit_factor,tuned_P1_total_R,tuned_T1_n,tuned_T1_expectancy_R,tuned_T1_profit_factor,tuned_T1_total_R,tune_P1_seconds,tune_P1_evals,tune_P1_stage,tune_P1_ip,tune_P1_risk,tuned_P2_n,tuned_P2_expectancy_R,tuned_P2_profit_factor,tuned_P2_total_R,tuned_T2_n,tuned_T2_expectancy_R,tuned_T2_profit_factor,tuned_T2_total_R,tune_P2_seconds,tune_P2_evals,tune_P2_stage,tune_P2_ip,tune_P2_risk
B|trend|mama_fama_signals|coral_signals|variance_volume_signals|tma_baseline,B-trend,B,166,0.4644479749415426,2.4146208451600186,77.09836384029607,22,-0.3263963021221772,0.22491750174270533,-7.1807186466878985,166,0.47715157749909454,2.4997529982257944,79.2071618648497,36,-0.14999625759256613,0.5830061139811894,-5.399865273332381,100,1.1109397571782058,7.5420918542406445,111.09397571782058,14,-0.30904610682983497,0.19846669402360245,-4.326645495617689,135.2,559,full,"{""base"": {""length"": 20}, ""c1"": {""fast_limit"": 0.5, ""slow_limit"": 0.040557}, ""c2"": {""const_d"": 7, ""smooth_period"": 12}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 25}}","{""atr_len"": 3, ""atr_mult"": 1.45, ""be_pct"": 0.01, ""tp_mult"": 1.1, ""trail_arm"": 1.0, ""trail_mult"": 1.9}",108,1.2190870413517478,6.046832571803941,131.66140046598878,32,-0.23749566460635788,0.3670853350833258,-7.599861267403452,131.8,559,full,"{""base"": {""length"": 37}, ""c1"": {""fast_limit"": 0.05, ""slow_limit"": 0.026683}, ""c2"": {""const_d"": 7, ""smooth_period"": 19}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 12, ""filter_lookback"": 3, ""hline"": 0, ""lookback"": 37}}","{""atr_len"": 3, ""atr_mult"": 1.32, ""be_pct"": 0.05, ""tp_mult"": 2.95, ""trail_arm"": 1.25, ""trail_mult"": 1.75}"
B|trend|kalman_filter_signals|kase_peak_oscillator_signals|efficiency_ratio_volume_signals|t3_baseline,B-trend,B,116,0.10260487702624571,1.4327695662354238,11.902165735044502,10,-0.06992831276827702,0.6526891360096171,-0.6992831276827702,120,0.08931515901816992,1.3802502602925217,10.71781908218039,12,-0.19470789805696523,0.43658268345456686,-2.336494776683583,102,1.6822768727852928,10.009793102697756,171.59224102409988,14,-0.20829489207854873,0.35446057729749453,-2.916128489099682,57.3,553,full,"{""base"": {""length"": 12, ""volume_factor"": 0.567792}, ""c1"": {""k"": 1, ""sharpness"": 1}, ""c2"": {""long_cycle"": 80, ""sharpness"": 40, ""short_cycle"": 6}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""er_threshold"": 0.3, ""length"": 12}}","{""atr_len"": 4, ""atr_mult"": 1.31, ""be_pct"": 0.01, ""tp_mult"": 1.6, ""trail_arm"": 1.0, ""trail_mult"": 1.35}",100,2.417365539094965,16.003967966676644,241.73655390949648,2,-0.5788191814419961,0.0,-1.1576383628839921,46.4,553,full,"{""base"": {""length"": 19, ""volume_factor"": 1.311672}, ""c1"": {""k"": 1, ""sharpness"": 1}, ""c2"": {""long_cycle"": 10, ""sharpness"": 40, ""short_cycle"": 8}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""er_threshold"": 0.3, ""length"": 66}}","{""atr_len"": 2, ""atr_mult"": 1.1, ""be_pct"": 0.01, ""tp_mult"": 3.0, ""trail_arm"": 1.1, ""trail_mult"": 0.5}"
B|trend|vortex_signals|mama_fama_signals|variance_volume_signals|ema_baseline,B-trend,B,124,0.753583024244184,3.8937671641809586,93.44429500627882,20,-0.25948487112680274,0.037428912779734064,-5.189697422536055,126,0.6691056403337907,3.686226629692305,84.30731068205763,24,0.19283902528714789,1.7437664069076437,4.628136606891549,104,1.1497998318142837,5.939059196730446,119.5791825086855,26,0.010025927635255978,1.0476397115312692,0.26067411851665545,133.4,539,full,"{""base"": {""ma_length"": 20}, ""c1"": {""period"": 140}, ""c2"": {""fast_limit"": 0.616423, ""slow_limit"": 0.093691}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 132, ""hline"": 0, ""lookback"": 16}}","{""atr_len"": 4, ""atr_mult"": 1.0, ""be_pct"": 0.01, ""tp_mult"": 2.05, ""trail_arm"": 1.55, ""trail_mult"": 1.95}",132,1.094900751375326,6.269557270049924,144.52689918154303,34,-0.26550400577703837,0.19432292090107314,-9.027136196419304,137.6,539,full,"{""base"": {""ma_length"": 25}, ""c1"": {""period"": 140}, ""c2"": {""fast_limit"": 0.266835, ""slow_limit"": 0.093691}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 5, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 20}}","{""atr_len"": 2, ""atr_mult"": 1.41, ""be_pct"": 0.01, ""tp_mult"": 2.3, ""trail_arm"": 1.1, ""trail_mult"": 1.65}"
B|trend|ehlers_reverse_ema_signals|ichimoku_signals|chaikin_volatility_volume_signals|tma_baseline,B-trend,B,170,0.6519725919760619,3.4473387901755617,110.83534063593052,42,-0.12481132253444581,0.6540686954937529,-5.242075546446724,178,0.5422383039589094,2.841088770247635,96.51841810468588,38,-0.2584171031892912,0.42260596325257554,-9.819849921193065,100,1.1198020106806599,4.887954599773042,111.980201068066,20,-0.11068851840213634,0.6787734689966655,-2.2137703680427268,44.6,559,full,"{""base"": {""length"": 25}, ""c1"": {""alpha"": 0.284804}, ""c2"": {""base_len"": 26, ""conversion_len"": 9, ""displacement"": 26, ""span_b_len"": 52}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 12, ""roc_len"": 12}}","{""atr_len"": 4, ""atr_mult"": 1.28, ""be_pct"": 0.05, ""tp_mult"": 3.0, ""trail_arm"": 2.0, ""trail_mult"": 0.6}",104,0.9415315426465628,4.974652824309222,97.91928043524253,30,0.1053359194056562,1.414342554980806,3.160077582169686,48.2,559,full,"{""base"": {""length"": 25}, ""c1"": {""alpha"": 0.187382}, ""c2"": {""base_len"": 26, ""conversion_len"": 9, ""displacement"": 32, ""span_b_len"": 5}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 12, ""roc_len"": 12}}","{""atr_len"": 5, ""atr_mult"": 1.35, ""be_pct"": 0.05, ""tp_mult"": 2.0, ""trail_arm"": 1.0, ""trail_mult"": 1.85}"
B|trend|supertrend_signals|halftrend_signals|chaikin_volatility_volume_signals|ema_baseline,B-trend,B,440,0.244552706701265,1.9786146639913496,107.6031909485566,58,-0.14079121526970895,0.44461890818922195,-8.16589048564312,450,0.20359973484324365,1.8144616557399902,91.61988067945964,80,0.020549176464457874,1.0807646247764202,1.64393411715663,170,0.803846943847128,5.416502173820101,136.65398045401176,32,-0.09987571805558046,0.5971323192857327,-3.1960229777785747,82.9,501,full,"{""base"": {""ma_length"": 37}, ""c1"": {""atr_period"": 8, ""factor"": 2}, ""c2"": {""amplitude"": 41}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 19, ""roc_len"": 15}}","{""atr_len"": 4, ""atr_mult"": 1.1, ""be_pct"": 0.09, ""tp_mult"": 1.25, ""trail_arm"": 1.7, ""trail_mult"": 1.8}",176,0.7816230301787027,6.4197136037131335,137.56565331145168,38,-0.02619002382994676,0.8716047169308859,-0.9952209055379769,79.5,501,full,"{""base"": {""ma_length"": 37}, ""c1"": {""atr_period"": 43, ""factor"": 2}, ""c2"": {""amplitude"": 27}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 43, ""roc_len"": 12}}","{""atr_len"": 2, ""atr_mult"": 1.25, ""be_pct"": 0.01, ""tp_mult"": 1.1, ""trail_arm"": 1.0, ""trail_mult"": 1.7}"
B|trend|donchian_breakout_signals|laguerre_filter_signals|variance_volume_signals|frama_baseline,B-trend,B,476,0.12331692498761936,1.4730025550218604,58.69885629410681,90,0.2422470138809591,2.384800825475039,21.80223124928632,500,0.14062541820643326,1.549407161720428,70.31270910321663,88,0.1234205970810086,1.5745102196261298,10.861012543128757,286,0.45975348170743685,2.9401544246192945,131.48949576832695,46,0.07456262479664479,1.3229800480030545,3.42988074064566,77.2,513,full,"{""base"": {""length"": 28}, ""c1"": {""length"": 11}, ""c2"": {""alpha"": 0.2}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 12, ""filter_lookback"": 25, ""hline"": 0, ""lookback"": 16}}","{""atr_len"": 3, ""atr_mult"": 1.48, ""be_pct"": 0.01, ""tp_mult"": 3.0, ""trail_arm"": 1.0, ""trail_mult"": 1.5}",200,0.7424107315364142,5.0597259012113724,148.48214630728285,28,0.20171324392053883,1.9046563930165121,5.647970829775087,70.4,513,full,"{""base"": {""length"": 28}, ""c1"": {""length"": 20}, ""c2"": {""alpha"": 2.0}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 8, ""filter_lookback"": 87, ""hline"": 0, ""lookback"": 20}}","{""atr_len"": 2, ""atr_mult"": 1.43, ""be_pct"": 0.01, ""tp_mult"": 2.95, ""trail_arm"": 1.0, ""trail_mult"": 0.95}"
B|trend|waddah_attar_explosion_signals|fx_sniper_ergodic_cci_signals|williams_vix_fix_volume_signals|sma_baseline,B-trend,B,90,0.04641494169223202,1.1386391343610143,4.177344752300882,6,-0.07994862125248396,0.7638815530483091,-0.47969172751490374,86,0.04621605842921207,1.136911719771914,3.974581024912238,6,0.10005442748826755,1.4284713702493446,0.6003265649296053,106,0.35862746614894975,2.446911987950805,38.014511411788675,14,-0.005823345240269205,0.9842042892896471,-0.08152683336376887,121.6,637,full,"{""base"": {""length"": 25}, ""c1"": {""bbLen"": 132, ""bbStd"": 2, ""fastEma"": 2, ""sensitivity"": 150, ""slowEma"": 21}, ""c2"": {""cci_length"": 14, ""ema1_length"": 5, ""ema2_length"": 3, ""trigger_length"": 33}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""bb_length"": 20, ""bb_mult"": 2, ""lookback"": 8}}","{""atr_len"": 40, ""atr_mult"": 1.15, ""be_pct"": 0.05, ""tp_mult"": 2.85, ""trail_arm"": 1.45, ""trail_mult"": 1.45}",108,0.28831805151100093,1.9521873465651092,31.1383495631881,10,1.2385262846313247,10.99524552443904,12.385262846313248,117.5,637,full,"{""base"": {""length"": 25}, ""c1"": {""bbLen"": 132, ""bbStd"": 2, ""fastEma"": 200, ""sensitivity"": 15, ""slowEma"": 400}, ""c2"": {""cci_length"": 140, ""ema1_length"": 9, ""ema2_length"": 3, ""trigger_length"": 3}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""bb_length"": 20, ""bb_mult"": 2, ""lookback"": 2}}","{""atr_len"": 40, ""atr_mult"": 1.2, ""be_pct"": 0.01, ""tp_mult"": 2.85, ""trail_arm"": 1.05, ""trail_mult"": 1.4}"
B|trend|bears_bulls_impulse_signals|fx_sniper_ergodic_cci_signals|variance_volume_signals|tma_baseline,B-trend,B,248,0.34627221343441333,2.07329986739657,85.8755089317345,36,0.23536329879640228,2.055953900053439,8.473078756670482,244,0.3499881992669149,2.112392076407067,85.39712062112723,52,-0.17251835683609418,0.593861066155467,-8.970954555476897,104,1.2780785563550823,5.435611672316555,132.92016986092855,20,-0.3623109680212384,0.22539430043145778,-7.246219360424768,71.7,563,full,"{""base"": {""length"": 37}, ""c1"": {""length"": 5}, ""c2"": {""cci_length"": 61, ""ema1_length"": 6, ""ema2_length"": 3, ""trigger_length"": 9}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 19, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 25}}","{""atr_len"": 2, ""atr_mult"": 1.05, ""be_pct"": 0.09, ""tp_mult"": 3.0, ""trail_arm"": 1.35, ""trail_mult"": 0.5}",106,0.995541887427762,5.403366022454081,105.52744006734277,18,0.14530992169204024,1.6311892600387428,2.615578590456724,67.8,563,full,"{""base"": {""length"": 25}, ""c1"": {""length"": 37}, ""c2"": {""cci_length"": 17, ""ema1_length"": 5, ""ema2_length"": 4, ""trigger_length"": 14}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 100, ""filter_lookback"": 20, ""hline"": 0, ""lookback"": 25}}","{""atr_len"": 3, ""atr_mult"": 1.0, ""be_pct"": 0.01, ""tp_mult"": 1.3, ""trail_arm"": 1.0, ""trail_mult"": 1.35}"
B|trend|vortex_signals|center_of_gravity_signals|williams_vix_fix_volume_signals|mcginley_dynamic_index,B-trend,B,118,0.21797189744334242,1.9497342752028932,25.720683898314405,20,0.2212354482390107,1.9285080302329611,4.424708964780214,116,0.15262719149379936,1.609947692271398,17.704754213280726,14,0.017890085519533746,1.063293532865643,0.25046119727347244,104,0.5172060803987968,3.7165566994262895,53.789432361474866,14,0.17066705645249056,1.723321966055842,2.3893387903348677,27.1,513,full,"{""base"": {""mci_length"": 7}, ""c1"": {""period"": 14}, ""c2"": {""length"": 8, ""signal_length"": 6}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""bb_length"": 20, ""bb_mult"": 2, ""lookback"": 2}}","{""atr_len"": 46, ""atr_mult"": 1.15, ""be_pct"": 0.05, ""tp_mult"": 3.0, ""trail_arm"": 2.0, ""trail_mult"": 1.95}",100,0.4267339495052036,3.081731994224226,42.67339495052036,12,0.5165222626830902,4.660232086917697,6.198267152197083,28.9,513,full,"{""base"": {""mci_length"": 14}, ""c1"": {""period"": 14}, ""c2"": {""length"": 10, ""signal_length"": 3}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""bb_length"": 11, ""bb_mult"": 2, ""lookback"": 2}}","{""atr_len"": 45, ""atr_mult"": 1.0, ""be_pct"": 0.05, ""tp_mult"": 2.25, ""trail_arm"": 1.0, ""trail_mult"": 1.45}"
B|trend|coppock_curve_signals|laguerre_filter_signals|variance_volume_signals|frama_baseline,B-trend,B,560,0.10773162794961684,1.4169123397417691,60.32971165178543,110,0.13495154797867556,1.7371173924842422,14.844670277654311,588,0.12546952560948818,1.5106613328576566,73.77608105837905,122,0.14454988590423615,1.658884032041536,17.63508608031681,222,1.518389442883416,7.647602106675342,337.08245632011835,38,0.05864428979980614,1.2531550050323264,2.2284830123926334,85.4,553,full,"{""base"": {""length"": 5}, ""c1"": {""long_roc"": 140, ""short_roc"": 3, ""smooth_len"": 100}, ""c2"": {""alpha"": 0.569607}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 5, ""filter_lookback"": 87, ""hline"": 0, ""lookback"": 20}}","{""atr_len"": 2, ""atr_mult"": 1.45, ""be_pct"": 0.01, ""tp_mult"": 3.0, ""trail_arm"": 1.45, ""trail_mult"": 0.5}",346,0.9991753043748005,5.3263837372863305,345.71465531368096,66,0.10561725671253769,1.4895002831166329,6.970738943027487,91.7,553,full,"{""base"": {""length"": 5}, ""c1"": {""long_roc"": 17, ""short_roc"": 6, ""smooth_len"": 12}, ""c2"": {""alpha"": 0.162226}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 43, ""filter_lookback"": 7, ""hline"": 0, ""lookback"": 20}}","{""atr_len"": 2, ""atr_mult"": 1.47, ""be_pct"": 0.05, ""tp_mult"": 2.8, ""trail_arm"": 1.3, ""trail_mult"": 0.65}"
