driver,period,group,episodes,sep
A,2016-19,ranging,753,0.16044609134519913
A,2016-19,crisis,753,-0.06641702603817942
B,2016-19,range-leaning,998,-0.5380281419797378
B,2016-19,crisis,998,0.9321823689911775
A,2020-21,ranging,379,-0.4384349602447453
A,2020-21,crisis,379,1.5987036375217545
B,2020-21,range-leaning,499,-0.3135179626610008
B,2020-21,crisis,499,
A,2022-26,ranging,819,-0.3761571760708918
A,2022-26,crisis,819,0.4222834352860396
B,2022-26,range-leaning,1146,-0.6475315612194511
B,2022-26,crisis,1146,0.8519846780240148
