driver,period,group,episodes,sep
A,2016-19,ranging,753,0.16044609134519913
A,2016-19,crisis,753,-0.06641702603817942
B,2016-19,range-leaning,998,-0.5380281419797378
B,2016-19,crisis,998,0.9321823689911775
A,2020-21,ranging,379,-0.4384349602447453
A,2020-21,crisis,379,1.5987036375217545
B,2020-21,range-leaning,499,-0.3135179626610008
B,2020-21,crisis,499,
A,2022-26,ranging,832,-0.3432178613772663
A,2022-26,crisis,832,0.3732812468309465
B,2022-26,range-leaning,1152,-0.6239417945777709
B,2022-26,crisis,1152,0.7827965259280305
