detector,logic,n_paired,mean_delta_sharpe,median_delta_sharpe,pct_positive,sign_test_pvalue,systematic_improvement
trend_sma200,gate,140,-0.005882892915488739,0.009003719458383446,0.5071428571428571,0.9326867554513679,False
markov_naive,gate,140,-0.042313867222667535,-0.02291777185278445,0.42857142857142855,0.10798762998355278,False
vol_regime,gate,140,-0.048416913324578086,-0.03799825351958717,0.39285714285714285,0.01395733412484244,False
hmm_2state,gate,140,-0.09565071956466625,-0.049371661012592855,0.37857142857142856,0.005102556809829763,False
vol_regime,switch,140,-0.17722587374398308,-0.016776030763887728,0.19285714285714287,1.0374925647730655e-13,False
hmm_2state,switch_backwards,140,-0.1793331866401299,-0.11143783138953005,0.2571428571428571,7.600909757854836e-09,False
trend_sma200,switch,140,-0.19216175215720738,0.0,0.17857142857142858,5.4081768250748685e-15,False
markov_naive,switch_backwards,140,-0.19869466316988596,-0.1931596203263199,0.22142857142857142,2.2519369295046097e-11,False
markov_naive,switch,140,-0.2350472062359735,-0.1284855238646231,0.12857142857142856,3.5726649331846444e-20,False
trend_sma200,switch_backwards,140,-0.2401621970353375,-0.16980007511435485,0.14285714285714285,1.4188339369831328e-18,False
hmm_2state,switch,140,-0.2509062287041376,-0.1040433068772264,0.12142857142857143,5.173180589404356e-21,False
vol_regime,switch_backwards,140,-0.2587058833669323,-0.22504957129096098,0.15,8.201244547147495e-18,False
