driver,period,group,sep
F1 |net share| (crowding),2016-19,trending,0.14208200265321164
F1 |net share| (crowding),2016-19,ranging,0.3516334849520939
F1 |net share| (crowding),2016-19,crisis,-0.4141129823743984
F1 |net share| (crowding),2020-21,trending,0.016776312968425456
F1 |net share| (crowding),2020-21,ranging,-0.15362116579823304
F1 |net share| (crowding),2020-21,crisis,0.17413528536522224
F1 |net share| (crowding),2022-26,trending,-0.09087205593808739
F1 |net share| (crowding),2022-26,ranging,-0.2991610570505793
F1 |net share| (crowding),2022-26,crisis,0.2805106761186448
F2 |4-week change| (turnover),2016-19,trending,0.10746627838047274
F2 |4-week change| (turnover),2016-19,ranging,-0.2502763010145014
F2 |4-week change| (turnover),2016-19,crisis,0.15998429775437853
F2 |4-week change| (turnover),2020-21,trending,-0.3499957429026347
F2 |4-week change| (turnover),2020-21,ranging,-0.24608230809724788
F2 |4-week change| (turnover),2020-21,crisis,0.7515746427801363
F2 |4-week change| (turnover),2022-26,trending,-0.3036769893491165
F2 |4-week change| (turnover),2022-26,ranging,0.01839265507380511
F2 |4-week change| (turnover),2022-26,crisis,0.20810417731710948
"F3 net share, signed",2016-19,trending,-0.1271188324471842
"F3 net share, signed",2016-19,ranging,0.4770217040758346
"F3 net share, signed",2016-19,crisis,-0.3551313583365757
"F3 net share, signed",2020-21,trending,0.43781568138828153
"F3 net share, signed",2020-21,ranging,-0.030525198974303818
"F3 net share, signed",2020-21,crisis,-0.5102819132081144
"F3 net share, signed",2022-26,trending,-0.085307316867961
"F3 net share, signed",2022-26,ranging,-0.2873142620461254
"F3 net share, signed",2022-26,crisis,0.26796973307575106
"F4 4-week change, signed",2016-19,trending,-0.2090381799017614
"F4 4-week change, signed",2016-19,ranging,-0.11854127677792928
"F4 4-week change, signed",2016-19,crisis,0.2437087205191928
"F4 4-week change, signed",2020-21,trending,0.5289287535700236
"F4 4-week change, signed",2020-21,ranging,0.04906038177998741
"F4 4-week change, signed",2020-21,crisis,-0.7256594956730462
"F4 4-week change, signed",2022-26,trending,-0.01523532103491058
"F4 4-week change, signed",2022-26,ranging,0.15057632056481188
"F4 4-week change, signed",2022-26,crisis,-0.0967594713476736
