pair,n,share_trending,med_trending,mean_trending,max_trending,share_ranging,med_ranging,mean_ranging,max_ranging,share_trend-in-range,med_trend-in-range,mean_trend-in-range,max_trend-in-range,share_neither,med_neither,mean_neither,max_neither,c_strong trending,c_weak ranging,c_medium ranging,c_weak neither,c_medium trending,c_medium neither,c_strong trend-in-range,c_strong ranging,c_medium trend-in-range,c_weak trending,c_weak trend-in-range,c_strong neither,trendiness,block
EURGBP,4064,0.28937007874015747,23.5,32.666666666666664,150,0.3410433070866142,27.5,40.76470588235294,157,0.16363188976377951,15.0,15.833333333333334,51,0.2059547244094488,18.0,27.9,84,0.1435960591133005,0.14014778325123153,0.13423645320197045,0.09729064039408868,0.08916256157635467,0.08793103448275862,0.08768472906403942,0.06699507389162561,0.05665024630541872,0.047783251231527095,0.02438423645320197,0.02413793103448276,-0.05167322834645671,is
EURAUD,4068,0.2743362831858407,13.0,34.875,237,0.3352999016715831,20.0,41.333333333333336,186,0.2055063913470993,16.0,19.0,74,0.1848574237954769,13.0,20.88888888888889,76,0.13648681941364868,0.1426459719142646,0.13722591771372258,0.08228627740822862,0.07341709780734171,0.07464892830746489,0.09953190440995319,0.056910569105691054,0.0800689825080069,0.06577974870657798,0.028824833702882482,0.022172949002217297,-0.06096361848574239,is
EURNZD,4080,0.3088235294117647,25.0,39.375,202,0.29362745098039217,20.0,30.71794871794872,153,0.1607843137254902,17.0,20.5,55,0.23676470588235293,16.5,24.15,113,0.11727183513248282,0.09739941118743867,0.11432777232580962,0.1361629048086359,0.11727183513248282,0.06992149165848871,0.07482826300294407,0.07801766437684005,0.05053974484789009,0.07262021589793916,0.033856722276741906,0.037782139352306184,0.01519607843137255,is
EURUSD,4072,0.400049115913556,38.0,52.54838709677419,167,0.2269155206286837,19.0,30.8,87,0.18393909626719057,13.5,18.725,85,0.18909626719056974,16.5,29.615384615384617,96,0.187853454634866,0.11826899434472585,0.08999262355544628,0.09343496434718465,0.13031718711581017,0.07302680108187853,0.07671502335874109,0.021637570690926974,0.06565035652815343,0.07597737890336857,0.03934103761986722,0.027784607819031228,0.17313359528487232,is
EURCAD,4099,0.2878750914857282,22.5,39.333333333333336,234,0.26738228836301536,20.5,32.23529411764706,133,0.2607953159307148,23.0,31.441176470588236,105,0.1839473042205416,24.0,22.848484848484848,60,0.12395884370406664,0.11587457128858403,0.08574228319451249,0.09529642332190102,0.1006859382655561,0.061489465948064675,0.10166585007349338,0.06810387065164135,0.10950514453699167,0.05977462028417443,0.05193532582067614,0.02596766291033807,0.020492803122712844,is
EURCHF,4142,0.31144374698213423,16.0,33.07692307692308,178,0.38314823756639305,28.0,45.34285714285714,229,0.17262192177691937,15.5,19.86111111111111,83,0.13278609367455335,15.0,22.0,113,0.15587240212663123,0.11648139197680038,0.19913001449975834,0.06041565973900435,0.07201546640889318,0.03721604639922668,0.06863218946350894,0.07056549057515708,0.055099081681971966,0.08844852585790237,0.04349927501208313,0.03262445625906235,-0.07170449058425882,is
EURJPY,4113,0.3535132506686117,30.0,48.46666666666667,210,0.3413566739606127,22.0,45.29032258064516,150,0.13591052759542913,17.5,21.5,75,0.16921954777534645,16.0,24.0,92,0.1544279092461576,0.1295437911685777,0.14149792632349353,0.05391558916808978,0.09563308123932666,0.08538667967797024,0.047572578677726275,0.06830934374237618,0.05245181751646743,0.10514759697487192,0.033910709929251034,0.032202976335691635,0.012156576707999023,is
GBPAUD,4146,0.2891944042450555,26.5,35.26470588235294,112,0.3181379643029426,33.0,39.96969696969697,138,0.22986010612638688,15.0,21.65909090909091,126,0.16280752532561504,16.0,21.09375,70,0.12892322549493,0.1429261226460647,0.10767745050700145,0.06301303718010623,0.09488169966199904,0.06977305649444712,0.08425881216803477,0.07339449541284404,0.09029454369869629,0.07194591984548528,0.048044422984065666,0.024867213906325448,-0.02894356005788712,is
GBPNZD,4144,0.2738899613899614,29.0,39.13793103448276,131,0.3892374517374517,25.0,41.35897435897436,176,0.15371621621621623,15.0,18.2,59,0.18315637065637067,17.5,23.71875,93,0.12415458937198068,0.14227053140096618,0.15120772946859903,0.09710144927536232,0.09178743961352658,0.06859903381642513,0.07536231884057971,0.10507246376811594,0.05531400966183575,0.06280193236714976,0.01618357487922705,0.010144927536231883,-0.11534749034749031,is
GBPUSD,4162,0.2849591542527631,17.0,32.94444444444444,199,0.3310908217203268,22.0,35.333333333333336,144,0.19533877943296493,14.5,19.357142857142858,110,0.1886112445939452,18.0,22.428571428571427,65,0.14405964405964405,0.13395863395863397,0.13684463684463685,0.0913900913900914,0.08465608465608465,0.06373256373256374,0.07575757575757576,0.05603655603655604,0.08633958633958634,0.05387205387205387,0.03751803751803752,0.03583453583453584,-0.0461316674675637,is
