generation,block,pair,state,n_runs,median,mean,longest,share
g2_structural12,is,EURGBP,medium broken,61,12.0,14.950819672131148,48,0.21343318511584367
g2_structural12,is,EURGBP,weak range,25,12.0,15.52,66,0.090802714720337
g2_structural12,is,EURGBP,weak broken,45,15.0,16.444444444444443,58,0.17318043529136437
g2_structural12,is,EURGBP,strong range,30,14.0,15.5,34,0.10882284109524924
g2_structural12,is,EURGBP,medium drifting,17,10.0,11.058823529411764,22,0.043997191668616896
g2_structural12,is,EURGBP,medium range,25,15.0,15.68,34,0.0917388251813714
g2_structural12,is,EURGBP,weak trending,6,7.0,8.0,12,0.011233325532412824
g2_structural12,is,EURGBP,strong broken,37,14.0,17.756756756756758,63,0.15375614322490053
g2_structural12,is,EURGBP,strong drifting,10,9.0,10.4,18,0.024338871986894453
g2_structural12,is,EURGBP,weak drifting,15,7.0,7.933333333333334,16,0.027849286215773462
g2_structural12,is,EURGBP,medium trending,9,6.0,6.333333333333333,8,0.013339574069740229
g2_structural12,is,EURGBP,strong trending,12,9.5,10.0,15,0.02808331383103206
g2_structural12,is,EURAUD,medium drifting,6,7.0,10.833333333333334,24,0.015211794991809033
g2_structural12,is,EURAUD,medium broken,54,16.0,18.77777777777778,72,0.23730400187222092
g2_structural12,is,EURAUD,strong broken,46,16.0,19.41304347826087,54,0.20898666042593025
g2_structural12,is,EURAUD,strong range,19,13.0,13.736842105263158,29,0.06108120758249473
g2_structural12,is,EURAUD,medium range,30,12.5,13.433333333333334,23,0.09431312894921601
g2_structural12,is,EURAUD,weak range,28,14.5,17.285714285714285,51,0.11326936578516265
g2_structural12,is,EURAUD,weak broken,44,13.0,16.545454545454547,42,0.17037210390826119
g2_structural12,is,EURAUD,strong drifting,6,8.0,8.5,11,0.011935408378188626
g2_structural12,is,EURAUD,strong trending,13,9.0,10.307692307692308,22,0.03135970044465247
g2_structural12,is,EURAUD,weak drifting,11,7.0,9.0,23,0.023168733910601452
g2_structural12,is,EURAUD,medium trending,4,9.5,10.0,16,0.00936110461034402
g2_structural12,is,EURAUD,weak trending,4,5.5,6.75,11,0.006318745611982214
g2_structural12,is,EURNZD,medium broken,53,14.0,17.39622641509434,58,0.21577346126842967
g2_structural12,is,EURNZD,strong broken,46,17.0,19.065217391304348,50,0.20524221858179265
g2_structural12,is,EURNZD,medium drifting,5,8.0,8.8,14,0.010297215071378422
g2_structural12,is,EURNZD,medium range,28,12.0,13.857142857142858,51,0.090802714720337
g2_structural12,is,EURNZD,weak broken,46,19.5,20.17391304347826,45,0.21717762695998127
g2_structural12,is,EURNZD,strong range,26,14.5,14.115384615384615,29,0.08588813479990638
g2_structural12,is,EURNZD,strong drifting,4,9.5,9.25,13,0.008659021764568219
g2_structural12,is,EURNZD,weak range,24,13.5,14.375,37,0.08073952726421718
g2_structural12,is,EURNZD,weak drifting,13,7.0,9.153846153846153,20,0.027849286215773462
g2_structural12,is,EURNZD,weak trending,4,11.0,11.0,17,0.010297215071378422
g2_structural12,is,EURNZD,medium trending,6,8.0,9.166666666666666,15,0.012871518839223028
g2_structural12,is,EURNZD,strong trending,5,16.0,13.8,22,0.016147905452843437
g2_structural12,is,EURUSD,medium broken,60,12.5,16.066666666666666,42,0.22560262110929089
g2_structural12,is,EURUSD,weak broken,47,15.0,18.595744680851062,68,0.20454013573601684
g2_structural12,is,EURUSD,medium range,25,11.0,12.08,24,0.07067633980809736
g2_structural12,is,EURUSD,strong broken,47,14.0,18.25531914893617,51,0.20079569389187923
g2_structural12,is,EURUSD,medium drifting,10,9.5,10.2,17,0.023870816756377252
g2_structural12,is,EURUSD,weak range,19,12.0,16.94736842105263,34,0.07535689211326936
g2_structural12,is,EURUSD,weak trending,14,9.0,10.0,19,0.03276386613620407
g2_structural12,is,EURUSD,strong range,23,10.0,13.652173913043478,32,0.07348467119120056
g2_structural12,is,EURUSD,weak drifting,9,6.0,9.11111111111111,20,0.019190264451205242
g2_structural12,is,EURUSD,strong trending,11,8.0,8.090909090909092,11,0.020828457758015447
g2_structural12,is,EURUSD,medium trending,8,7.5,8.375,16,0.015679850222326236
g2_structural12,is,EURUSD,strong drifting,10,5.5,7.9,22,0.018488181605429442
g2_structural12,is,EURCAD,medium broken,60,12.0,16.15,74,0.2267727591855839
g2_structural12,is,EURCAD,medium trending,7,10.0,9.428571428571429,14,0.015445822607067634
g2_structural12,is,EURCAD,strong broken,51,18.0,18.274509803921568,40,0.21811373742101567
g2_structural12,is,EURCAD,weak broken,42,21.0,20.976190476190474,66,0.20617832904282704
g2_structural12,is,EURCAD,weak range,18,9.5,13.0,32,0.05476246197051252
g2_structural12,is,EURCAD,medium range,23,15.0,14.91304347826087,30,0.08027147203369997
g2_structural12,is,EURCAD,weak drifting,15,6.0,7.8,17,0.02738123098525626
g2_structural12,is,EURCAD,strong trending,9,9.0,8.333333333333334,13,0.01755207114439504
g2_structural12,is,EURCAD,strong range,21,16.0,17.095238095238095,48,0.08401591387783758
g2_structural12,is,EURCAD,weak trending,10,7.5,9.2,20,0.021530540603791247
g2_structural12,is,EURCAD,strong drifting,8,5.5,7.625,15,0.014275684530774631
g2_structural12,is,EURCAD,medium drifting,8,8.5,9.0,14,0.016849988298619237
g2_structural12,is,EURCHF,weak range,32,14.5,18.125,79,0.1357360168499883
g2_structural12,is,EURCHF,weak broken,33,12.0,14.181818181818182,37,0.10952492394102505
g2_structural12,is,EURCHF,weak drifting,19,8.0,10.157894736842104,24,0.0451673297449099
g2_structural12,is,EURCHF,medium broken,51,12.0,16.745098039215687,54,0.19985958343084484
g2_structural12,is,EURCHF,medium range,30,14.0,17.8,48,0.12497074654809268
g2_structural12,is,EURCHF,strong range,21,13.0,14.476190476190476,28,0.07114439503861456
g2_structural12,is,EURCHF,strong broken,44,17.5,22.772727272727273,96,0.2344956704891177
g2_structural12,is,EURCHF,strong drifting,10,6.0,6.6,11,0.015445822607067634
g2_structural12,is,EURCHF,medium drifting,7,6.0,8.142857142857142,14,0.013339574069740229
g2_structural12,is,EURCHF,strong trending,8,7.0,8.125,14,0.015211794991809033
g2_structural12,is,EURCHF,medium trending,6,9.0,9.166666666666666,12,0.012871518839223028
g2_structural12,is,EURCHF,weak trending,4,7.0,7.5,11,0.007020828457758015
g2_structural12,is,EURJPY,weak broken,39,16.0,18.384615384615383,59,0.16779780014041656
g2_structural12,is,EURJPY,medium broken,57,13.0,17.49122807017544,50,0.23332553241282472
g2_structural12,is,EURJPY,weak drifting,14,9.5,11.357142857142858,22,0.03721039082611748
g2_structural12,is,EURJPY,medium range,32,12.5,13.96875,32,0.10461034402059444
g2_structural12,is,EURJPY,strong broken,45,16.0,17.2,39,0.1811373742101568
g2_structural12,is,EURJPY,medium trending,8,7.0,7.0,9,0.013105546454481629
g2_structural12,is,EURJPY,weak trending,9,9.0,10.222222222222221,20,0.021530540603791247
g2_structural12,is,EURJPY,strong range,16,11.5,11.1875,19,0.04189094313128949
g2_structural12,is,EURJPY,medium drifting,12,8.5,10.75,28,0.030189562368359468
