driver,block,bucket,days,metric,p,base,lift
D curve |slope gap|,is,low,1427,P(crisis in 20 bars),0.13805185704274703,0.12146033231921367,1.1366003567315184
D curve |slope gap|,is,mid,1421,P(crisis in 20 bars),0.08304011259676285,0.12146033231921367,0.6836809270249858
D curve |slope gap|,is,high,1425,P(crisis in 20 bars),0.1431578947368421,0.12146033231921367,1.178639083257276
D curve |slope gap|,is,low,1427,P(trending in 20 bars),0.4595555110621684,0.44115041289157836,1.0417206867153346
D curve |slope gap|,is,mid,1421,P(trending in 20 bars),0.4389263094400322,0.44115041289157836,0.9949584010655957
D curve |slope gap|,is,high,1425,P(trending in 20 bars),0.424937343358396,0.44115041289157836,0.9632482050126357
D curve |slope gap|,is,low,1427,P(ranging in 20 bars),0.4237411152267494,0.4366788138143158,0.9703725067984
D curve |slope gap|,is,mid,1421,P(ranging in 20 bars),0.4756710565999799,0.4366788138143158,1.0892927285504728
D curve |slope gap|,is,high,1425,P(ranging in 20 bars),0.41075187969924815,0.4366788138143158,0.9406269933533065
D curve |slope gap|,is,low,1427,P(trend-in-range in 20 bars),0.35196215837421163,0.33450068536658756,1.0522016060699177
D curve |slope gap|,is,mid,1421,P(trend-in-range in 20 bars),0.3450035186488388,0.33450068536658756,1.0313985403968333
D curve |slope gap|,is,high,1425,P(trend-in-range in 20 bars),0.30654135338345867,0.33450068536658756,0.9164147243749663
D curve |slope gap|,oos,low,1660,P(crisis in 20 bars),0.172289156626506,0.1527464258841234,1.1279423111163867
D curve |slope gap|,oos,mid,638,P(crisis in 20 bars),0.13166144200626959,0.1527464258841234,0.8619608690952328
D curve |slope gap|,oos,high,360,P(crisis in 20 bars),0.1,0.1527464258841234,0.6546798029556651
D curve |slope gap|,oos,low,1660,P(trending in 20 bars),0.37685104529616725,0.38255442434744935,0.9850913263883675
D curve |slope gap|,oos,mid,638,P(trending in 20 bars),0.35994178235557545,0.38255442434744935,0.9408903921829007
D curve |slope gap|,oos,high,360,P(trending in 20 bars),0.4486111111111111,0.38255442434744935,1.1726726514177412
D curve |slope gap|,oos,low,1660,P(ranging in 20 bars),0.5214939024390244,0.5082042673020687,1.0261501840736347
D curve |slope gap|,oos,mid,638,P(ranging in 20 bars),0.529332736229288,0.5082042673020687,1.0415747570152947
D curve |slope gap|,oos,high,360,P(ranging in 20 bars),0.41021825396825395,0.5082042673020687,0.8071916753985591
D curve |slope gap|,oos,low,1660,P(trend-in-range in 20 bars),0.33743466898954705,0.3446333802664356,0.9791119732182553
D curve |slope gap|,oos,mid,638,P(trend-in-range in 20 bars),0.33894984326018807,0.3446333802664356,0.9835084546892887
D curve |slope gap|,oos,high,360,P(trend-in-range in 20 bars),0.3875,0.3446333802664356,1.1243832495285986
